,Rank,DALY rate,Sunshine Hours/Year
Indonesia,1,321.87,252.16
Philippines,2,317.079,210.31
Thailand,3,315.533,217.5
Singapore,7,311.872,202.24
Uzbekistan,10,286.942,282.39
Papua New Guinea,13,281.681,246.3
Iraq,15,279.362,324.08
Vietnam,23,275.786,212.35
Iran,25,275.672,282.17
Solomon Islands,26,275.561,233.0
Tunisia,30,273.845,305.0
Morocco,31,273.587,315.55
Libya,32,273.506,317.81
Egypt,33,273.441,371.07
Cyprus,35,273.036,331.41
Saudi Arabia,36,270.202,323.65
Mongolia,37,270.025,279.15
Oman,38,270.003,349.33
Armenia,40,269.694,247.4
Azerbaijan,41,269.573,220.74
China,43,269.146,202.86
North Korea,44,269.064,249.2
India,47,268.903,251.7
Fiji,49,268.504,192.2
South Korea,50,268.395,219.67
Pakistan,53,266.348,310.85
Bangladesh,55,265.704,206.6
Uruguay,61,257.22,248.14
Nicaragua,62,256.836,275.99
Honduras,64,256.04,225.98
Brazil,65,255.328,223.76
Mexico,66,254.998,259.62
El Salvador,72,254.538,295.7
Chile,74,254.056,284.18
Afghanistan,76,253.778,317.51
Ecuador,77,253.573,190.95
Colombia,78,253.524,193.08
Venezuela,80,253.432,289.53
Argentina,81,253.404,222.03
Bolivia,82,253.353,228.89
Peru,87,253.06,228.17
Panama,88,252.96,174.35
Guyana,92,252.626,246.06
Paraguay,93,252.615,280.3
Angola,94,252.602,234.1
Mali,96,248.112,309.99
Albania,97,247.412,254.4
Niger,99,247.16,320.32
Equatorial Guinea,100,247.009,154.9
Chad,101,246.93,335.32
Guinea-Bissau,102,246.913,270.7
Nigeria,103,246.675,266.91
Burkina Faso,104,246.534,320.9
Guinea,105,244.827,244.0
Benin,106,244.67,263.05
Cameroon,107,244.614,216.51
Senegal,108,244.417,314.6
Togo,109,244.322,258.0
Gambia,110,244.157,307.0
Madagascar,111,244.013,286.44
Burundi,112,242.958,237.34
Mauritania,113,242.681,333.25
Bosnia and Herzegovina,117,241.524,176.9
Gabon,118,241.036,172.02
South Africa,120,240.51,314.13
Algeria,122,239.752,326.65
Tanzania,123,239.346,303.28
Mozambique,125,239.198,283.8
Bulgaria,126,238.471,217.7
Ethiopia,127,238.315,278.49
Zimbabwe,128,238.167,306.54
Zambia,129,238.155,296.55
Malawi,131,237.361,279.59
Romania,132,237.228,211.5
Uganda,134,236.848,230.4
Georgia,137,235.629,204.6
Eritrea,138,235.605,336.1
Djibouti,139,235.323,327.9
Kenya,140,234.975,303.0
Somalia,141,234.846,310.3
Botswana,144,234.546,342.67
Sudan,145,234.492,355.95
Turkey,148,234.024,233.38
Ghana,149,234.009,236.75
Poland,150,233.876,157.1
Slovakia,151,233.549,203.8
Namibia,152,233.28,373.75
Kazakhstan,153,210.649,243.15
Ukraine,154,209.78,195.5
Russia,155,206.91,197.28
Hungary,156,206.746,198.8
Belarus,157,206.098,180.7
Lithuania,158,205.798,169.1
Latvia,159,203.75,175.4
Moldova,160,202.684,212.6
Estonia,161,201.738,11.55
New Zealand,162,193.707,195.39
Japan,163,193.509,183.71
France,164,189.104,216.67
Switzerland,165,188.713,156.6
Israel,166,188.005,331.1
Croatia,167,187.935,227.2
Finland,168,187.699,185.8
Denmark,169,187.542,193.2
Norway,170,187.493,137.33
Slovenia,171,187.209,197.4
Spain,172,186.362,280.02
Netherlands,173,186.282,166.2
Portugal,174,186.253,277.0
Belgium,175,186.13,154.6
Sweden,176,186.011,178.25
Canada,177,185.942,202.8
Czech Republic,178,185.826,166.8
Germany,179,185.762,164.4
United States,181,185.629,282.76
Ireland,182,185.626,145.3
Italy,183,185.589,237.23
Luxembourg,184,185.307,163.4
United Kingdom,185,185.182,153.0
Austria,186,185.116,188.4
Greece,187,185.063,277.3
Malta,188,184.87,305.4
Monaco,190,184.831,257.5
Iceland,191,184.83,132.6
Australia,192,164.255,283.68
