,Rank,DALY rate,Sunshine Hours/Year
United States,1,1454.74,282.76
Bangladesh,4,1401.53,206.6
India,5,1400.84,251.7
Pakistan,6,1400.42,310.85
Brazil,7,1396.1,223.76
Afghanistan,10,1385.14,317.51
Finland,11,1344.13,185.8
Israel,12,1273.92,331.1
Slovenia,13,1248.47,197.4
Belgium,14,1244.46,154.6
France,15,1234.32,216.67
Chile,16,1221.23,284.18
Bolivia,19,1161.56,228.89
Nicaragua,20,1161.25,275.99
Canada,21,1157.07,202.8
Ecuador,22,1156.3,190.95
Peru,23,1156.07,228.17
Croatia,24,1141.79,227.2
Armenia,25,1133.2,247.4
Azerbaijan,26,1120.05,220.74
Switzerland,27,1114.11,156.6
Denmark,31,1110.76,193.2
Uzbekistan,32,1110.18,282.39
Luxembourg,33,1110.0,163.4
Austria,34,1108.3,188.4
El Salvador,35,1103.93,295.7
Colombia,37,1099.51,193.08
Honduras,39,1098.66,225.98
Uruguay,43,1095.86,248.14
Argentina,48,1094.2,222.03
Venezuela,51,1088.72,289.53
Guyana,54,1086.82,246.06
Panama,55,1086.71,174.35
Paraguay,57,1085.28,280.3
Sweden,59,1060.42,178.25
Georgia,60,1056.6,204.6
Albania,61,1047.94,254.4
Bosnia and Herzegovina,62,1044.53,176.9
Poland,63,1043.18,157.1
Slovakia,64,1042.62,203.8
Romania,65,1041.97,211.5
Bulgaria,66,1040.66,217.7
Turkey,69,1037.51,233.38
Norway,70,996.78,137.33
United Kingdom,71,960.624,153.0
Ireland,72,959.325,145.3
Monaco,73,959.222,257.5
Iceland,75,955.986,132.6
Germany,76,955.011,164.4
Cyprus,78,936.667,331.41
Morocco,79,936.319,315.55
Czech Republic,80,934.095,166.8
Egypt,81,931.894,371.07
Iraq,82,931.842,324.08
Tunisia,84,931.414,305.0
Iran,86,929.554,282.17
Indonesia,87,927.707,252.16
Thailand,88,925.765,217.5
Philippines,93,921.373,210.31
Libya,94,919.74,317.81
Singapore,95,919.158,202.24
Vietnam,99,911.415,212.35
Papua New Guinea,100,909.399,246.3
Fiji,103,903.122,192.2
Solomon Islands,108,900.169,233.0
Saudi Arabia,114,895.616,323.65
Oman,116,888.392,349.33
North Korea,118,868.902,249.2
Mongolia,119,866.49,279.15
South Korea,120,863.421,219.67
Netherlands,122,861.586,166.2
Kazakhstan,123,860.07,243.15
Ukraine,124,858.312,195.5
Estonia,125,857.445,11.55
China,126,857.314,202.86
Russia,127,856.718,197.28
Belarus,128,855.825,180.7
Lithuania,129,855.363,169.1
Latvia,130,855.207,175.4
Moldova,131,855.04,212.6
New Zealand,132,851.065,195.39
Hungary,134,847.062,198.8
Australia,135,846.943,283.68
Mexico,137,784.702,259.62
Italy,138,776.376,237.23
Malta,139,763.792,305.4
Mali,141,746.409,309.99
Angola,143,739.066,234.1
Burkina Faso,144,738.634,320.9
Guinea-Bissau,147,737.928,270.7
Equatorial Guinea,148,737.167,154.9
Chad,149,736.668,335.32
Togo,150,736.605,258.0
Nigeria,151,736.038,266.91
Senegal,152,735.975,314.6
Somalia,153,735.67,310.3
Madagascar,155,735.148,286.44
Cameroon,157,734.635,216.51
Gambia,159,734.206,307.0
Benin,160,733.968,263.05
Mauritania,161,733.944,333.25
Mozambique,163,733.777,283.8
Gabon,164,733.615,172.02
Djibouti,165,733.559,327.9
Guinea,166,732.777,244.0
Sudan,169,732.233,355.95
Algeria,170,731.743,326.65
Burundi,171,731.009,237.34
Niger,172,730.976,320.32
Ghana,173,730.842,236.75
Eritrea,174,730.154,336.1
Namibia,176,726.357,373.75
Malawi,177,725.934,279.59
South Africa,178,725.772,314.13
Tanzania,180,724.539,303.28
Zimbabwe,181,724.516,306.54
Zambia,182,724.126,296.55
Botswana,183,723.997,342.67
Ethiopia,185,723.892,278.49
Kenya,186,723.667,303.0
Uganda,187,722.676,230.4
Portugal,188,721.798,277.0
Greece,190,632.054,277.3
Spain,191,620.772,280.02
Japan,192,531.252,183.71
